vaccinationCenterName,location,vaccineName,vaccinationDate,totalRegistrations,totalBoys,totalGirls
Uhc 16 Kathmandu Metropolitan City,Balaju,Pfizer-BioNTech,2023-03-19,347,226,97
Uhc 22 Kathmandu Metropolitan City,Te Bahal,Pfizer-BioNTech,2023-12-18,205,63,12
Uhc 6 Kathmandu Metropolitan City,Baudhha,Pfizer-BioNTech,2020-11-01,416,55,196
Uhc 4 Kathmandu Metropolitan City,Balwatar,Sinopharm,2023-10-17,333,122,72
Uhc 9 Kathmandu Metropolitan City,Gaushala,Pfizer-BioNTech,2021-07-01,392,187,57
Uhc 27 Kathmandu Metropolitan City,Maha Bahudha,Johnson & Johnson,2023-09-09,276,32,189
Uhc 1 Kathmandu Metropolitan City,Naxal,Pfizer-BioNTech,2023-09-20,54,36,3
Uhc 14 Kathmandu Metropolitan City,Kalanki,Sinopharm,2021-07-27,268,253,5
Uhc 32 Kathmandu Metropolitan City,Koteshwor,Pfizer-BioNTech,2023-05-16,180,154,2
Uhc 14 Kathmandu Metropolitan City,Kalanki,Johnson & Johnson,2022-03-10,187,74,105
Uhc 18 Kathmandu Metropolitan City,Nardevi,Pfizer-BioNTech,2021-02-27,418,226,132
Uhc 17 Kathmandu Metropolitan City,Chhetrapati,Pfizer-BioNTech,2022-12-31,38,14,13
Uhc 22 Kathmandu Metropolitan City,Te Bahal,Pfizer-BioNTech,2023-04-25,436,434,0
Uhc 20 Kathmandu Metropolitan City,Bimsenthan,AstraZeneca,2024-01-21,259,141,20
Uhc 9 Kathmandu Metropolitan City,Gaushala,Sinopharm,2022-04-11,49,8,5
Uhc 18 Kathmandu Metropolitan City,Nardevi,Sinopharm,2021-08-31,334,48,112
Uhc 30 Kathmandu Metropolitan City,Gyaneshwor,Pfizer-BioNTech,2023-02-18,87,26,3
Uhc 10 Kathmandu Metropolitan City,Baneshwor,Sinopharm,2022-09-20,258,190,43
Uhc 15 Kathmandu Metropolitan City,Dallu,Johnson & Johnson,2022-05-24,425,226,92
Uhc 9 Kathmandu Metropolitan City,Gaushala,Johnson & Johnson,2022-12-15,170,126,0
Uhc 4 Kathmandu Metropolitan City,Balwatar,Sinopharm,2021-11-15,314,299,10
Uhc 18 Kathmandu Metropolitan City,Nardevi,Pfizer-BioNTech,2023-05-16,89,12,69
Uhc 15 Kathmandu Metropolitan City,Dallu,AstraZeneca,2024-02-12,246,9,100
Uhc 1 Kathmandu Metropolitan City,Naxal,AstraZeneca,2023-12-20,263,121,112
Uhc 18 Kathmandu Metropolitan City,Nardevi,Pfizer-BioNTech,2021-05-17,126,71,50
Uhc 28 Kathmandu Metropolitan City,Purano Buspark,Pfizer-BioNTech,2023-02-01,473,6,1
Uhc 7 Kathmandu Metropolitan City,Mitrapark,Sinopharm,2023-11-11,105,37,9
Uhc 30 Kathmandu Metropolitan City,Gyaneshwor,Sinopharm,2022-06-01,397,197,158
Uhc 30 Kathmandu Metropolitan City,Gyaneshwor,Pfizer-BioNTech,2021-03-13,170,78,81
Uhc 11 Kathmandu Metropolitan City,Babarmahal,Johnson & Johnson,2020-10-29,267,234,28
Uhc 23 Kathmandu Metropolitan City,Om Bahal,Sinopharm,2023-02-14,169,77,68
Uhc 19 Kathmandu Metropolitan City,Damai Tol,Johnson & Johnson,2020-10-12,278,276,0
Uhc 3 Kathmandu Metropolitan City,Maharjgunj,Johnson & Johnson,2022-02-24,240,55,183
Uhc 27 Kathmandu Metropolitan City,Maha Bahudha,Sinopharm,2021-08-21,273,29,127
Uhc 7 Kathmandu Metropolitan City,Mitrapark,Pfizer-BioNTech,2023-10-15,212,168,8
Uhc 6 Kathmandu Metropolitan City,Baudhha,AstraZeneca,2022-08-17,338,217,92
Uhc 20 Kathmandu Metropolitan City,Bimsenthan,AstraZeneca,2022-10-06,148,145,0
Uhc 18 Kathmandu Metropolitan City,Nardevi,Sinopharm,2022-02-03,273,199,19
Uhc 10 Kathmandu Metropolitan City,Baneshwor,AstraZeneca,2021-12-09,160,121,1
Uhc 16 Kathmandu Metropolitan City,Balaju,Sinopharm,2023-11-19,282,132,55
Uhc 2 Kathmandu Metropolitan City,Lazimpat,Johnson & Johnson,2022-02-17,243,136,5
Uhc 7 Kathmandu Metropolitan City,Mitrapark,AstraZeneca,2023-05-17,341,142,51
Uhc 22 Kathmandu Metropolitan City,Te Bahal,Sinopharm,2022-12-07,463,308,13
Uhc 24 Kathmandu Metropolitan City,Makhan,Pfizer-BioNTech,2021-12-27,352,203,13
Uhc 24 Kathmandu Metropolitan City,Makhan,Johnson & Johnson,2024-01-24,227,200,1
Uhc 23 Kathmandu Metropolitan City,Om Bahal,Sinopharm,2023-02-08,233,209,22
Uhc 20 Kathmandu Metropolitan City,Bimsenthan,Sinopharm,2023-01-24,374,108,25
Uhc 8 Kathmandu Metropolitan City,Jai Bageshwori,Pfizer-BioNTech,2021-12-16,339,264,10
Uhc 18 Kathmandu Metropolitan City,Nardevi,AstraZeneca,2023-03-11,485,38,63
Uhc 2 Kathmandu Metropolitan City,Lazimpat,Pfizer-BioNTech,2023-03-27,402,337,41
Uhc 21 Kathmandu Metropolitan City,Jhwaa Bahal,Sinopharm,2021-05-19,357,324,10
Uhc 26 Kathmandu Metropolitan City,Lainchaur,Pfizer-BioNTech,2022-04-03,491,211,100
Uhc 27 Kathmandu Metropolitan City,Maha Bahudha,AstraZeneca,2020-10-24,376,101,16
Uhc 17 Kathmandu Metropolitan City,Chhetrapati,Johnson & Johnson,2023-10-13,117,46,58
Uhc 24 Kathmandu Metropolitan City,Makhan,Pfizer-BioNTech,2023-11-02,373,115,139
Uhc 4 Kathmandu Metropolitan City,Balwatar,AstraZeneca,2021-03-27,224,89,112
Uhc 3 Kathmandu Metropolitan City,Maharjgunj,Pfizer-BioNTech,2022-06-25,167,11,42
Uhc 26 Kathmandu Metropolitan City,Lainchaur,Pfizer-BioNTech,2024-01-25,395,330,64
Uhc 32 Kathmandu Metropolitan City,Koteshwor,AstraZeneca,2021-03-30,479,313,79
Uhc 25 Kathmandu Metropolitan City,Masan Galli,Sinopharm,2021-11-26,88,5,69
Uhc 18 Kathmandu Metropolitan City,Nardevi,Sinopharm,2021-11-30,323,86,197
Uhc 27 Kathmandu Metropolitan City,Maha Bahudha,Pfizer-BioNTech,2023-09-17,58,26,6
Uhc 21 Kathmandu Metropolitan City,Jhwaa Bahal,Johnson & Johnson,2021-11-18,146,56,56
Uhc 30 Kathmandu Metropolitan City,Gyaneshwor,AstraZeneca,2021-11-13,206,195,11
Uhc 7 Kathmandu Metropolitan City,Mitrapark,AstraZeneca,2024-01-30,38,14,6
Uhc 31 Kathmandu Metropolitan City,Shantinagar,Johnson & Johnson,2023-03-07,371,138,167
Uhc 7 Kathmandu Metropolitan City,Mitrapark,AstraZeneca,2022-11-05,308,63,196
Uhc 8 Kathmandu Metropolitan City,Jai Bageshwori,Sinopharm,2023-09-20,229,30,89
Uhc 4 Kathmandu Metropolitan City,Balwatar,AstraZeneca,2023-12-24,124,57,45
Uhc 4 Kathmandu Metropolitan City,Balwatar,Pfizer-BioNTech,2021-11-28,269,34,76
Uhc 23 Kathmandu Metropolitan City,Om Bahal,Pfizer-BioNTech,2021-11-13,360,130,116
Uhc 30 Kathmandu Metropolitan City,Gyaneshwor,Pfizer-BioNTech,2023-10-10,162,64,2
Uhc 21 Kathmandu Metropolitan City,Jhwaa Bahal,AstraZeneca,2023-02-08,243,87,84
Uhc 1 Kathmandu Metropolitan City,Naxal,AstraZeneca,2022-10-21,316,276,27
Uhc 27 Kathmandu Metropolitan City,Maha Bahudha,Sinopharm,2021-04-27,131,43,2
Uhc 11 Kathmandu Metropolitan City,Babarmahal,Sinopharm,2021-06-01,436,221,77
Uhc 15 Kathmandu Metropolitan City,Dallu,Johnson & Johnson,2021-10-24,91,73,0
Uhc 16 Kathmandu Metropolitan City,Balaju,Sinopharm,2023-03-18,500,217,16
Uhc 29 Kathmandu Metropolitan City,Dilibazzar Pipalbot,AstraZeneca,2021-05-27,155,25,41
Uhc 13 Kathmandu Metropolitan City,Kalimati,Moderna,2022-06-26,353,176,126
Uhc 24 Kathmandu Metropolitan City,Makhan,Sinopharm,2022-11-06,497,134,49
Uhc 15 Kathmandu Metropolitan City,Dallu,AstraZeneca,2023-10-03,40,3,6
Uhc 9 Kathmandu Metropolitan City,Gaushala,AstraZeneca,2023-08-31,361,350,9
Uhc 18 Kathmandu Metropolitan City,Nardevi,Johnson & Johnson,2022-01-13,434,231,70
Uhc 2 Kathmandu Metropolitan City,Lazimpat,Pfizer-BioNTech,2022-11-02,207,82,38
Uhc 23 Kathmandu Metropolitan City,Om Bahal,Sinopharm,2021-02-10,316,251,25
Uhc 9 Kathmandu Metropolitan City,Gaushala,Pfizer-BioNTech,2021-03-08,139,12,95
Uhc 24 Kathmandu Metropolitan City,Makhan,AstraZeneca,2020-11-05,430,22,177
Uhc 30 Kathmandu Metropolitan City,Gyaneshwor,Sinopharm,2021-07-07,138,65,29
Uhc 14 Kathmandu Metropolitan City,Kalanki,Pfizer-BioNTech,2023-02-11,392,150,105
Uhc 3 Kathmandu Metropolitan City,Maharjgunj,Sinopharm,2022-09-23,115,25,18
Uhc 15 Kathmandu Metropolitan City,Dallu,Pfizer-BioNTech,2022-05-17,390,248,72
Uhc 31 Kathmandu Metropolitan City,Shantinagar,AstraZeneca,2021-10-20,442,170,161
Uhc 3 Kathmandu Metropolitan City,Maharjgunj,Sinopharm,2021-04-21,101,93,6
Uhc 7 Kathmandu Metropolitan City,Mitrapark,Sinopharm,2023-03-27,242,190,16
Uhc 29 Kathmandu Metropolitan City,Dilibazzar Pipalbot,Pfizer-BioNTech,2020-10-02,168,60,2
Uhc 10 Kathmandu Metropolitan City,Baneshwor,Sinopharm,2022-01-18,67,23,14
Uhc 9 Kathmandu Metropolitan City,Gaushala,AstraZeneca,2022-03-07,38,8,17
Uhc 5 Kathmandu Metropolitan City,Hadigaun,Sinopharm,2023-07-03,401,147,17
Uhc 6 Kathmandu Metropolitan City,Baudhha,Pfizer-BioNTech,2021-03-17,190,64,38
Uhc 19 Kathmandu Metropolitan City,Damai Tol,Sinopharm,2021-01-11,121,98,9
Uhc 26 Kathmandu Metropolitan City,Lainchaur,Sinopharm,2023-05-28,116,89,7
Uhc 7 Kathmandu Metropolitan City,Mitrapark,Pfizer-BioNTech,2021-06-01,194,57,100
Uhc 2 Kathmandu Metropolitan City,Lazimpat,Sinopharm,2023-02-28,453,408,34
Uhc 30 Kathmandu Metropolitan City,Gyaneshwor,AstraZeneca,2022-01-03,354,154,175
Uhc 4 Kathmandu Metropolitan City,Balwatar,Pfizer-BioNTech,2022-01-21,212,100,64
Uhc 5 Kathmandu Metropolitan City,Hadigaun,AstraZeneca,2021-12-02,266,179,30
Uhc 27 Kathmandu Metropolitan City,Maha Bahudha,AstraZeneca,2022-06-15,133,113,14
Uhc 17 Kathmandu Metropolitan City,Chhetrapati,Pfizer-BioNTech,2022-10-23,373,104,211
Uhc 22 Kathmandu Metropolitan City,Te Bahal,Pfizer-BioNTech,2020-10-06,430,69,359
Uhc 12 Kathmandu Metropolitan City,Teku,AstraZeneca,2021-09-19,459,164,284
Uhc 20 Kathmandu Metropolitan City,Bimsenthan,Sinopharm,2022-10-05,56,54,1
Uhc 22 Kathmandu Metropolitan City,Te Bahal,Pfizer-BioNTech,2023-11-23,356,237,118
Uhc 12 Kathmandu Metropolitan City,Teku,Sinopharm,2021-07-04,112,35,17
Uhc 32 Kathmandu Metropolitan City,Koteshwor,Sinopharm,2022-06-09,107,3,71
Uhc 27 Kathmandu Metropolitan City,Maha Bahudha,Pfizer-BioNTech,2022-04-29,144,8,94
Uhc 12 Kathmandu Metropolitan City,Teku,AstraZeneca,2022-11-14,164,15,102
Uhc 29 Kathmandu Metropolitan City,Dilibazzar Pipalbot,Sinopharm,2020-10-28,359,81,101
Uhc 12 Kathmandu Metropolitan City,Teku,Pfizer-BioNTech,2021-06-18,265,184,74
Uhc 20 Kathmandu Metropolitan City,Bimsenthan,Pfizer-BioNTech,2021-07-23,384,319,33
Uhc 21 Kathmandu Metropolitan City,Jhwaa Bahal,Pfizer-BioNTech,2022-04-07,86,41,13
Uhc 27 Kathmandu Metropolitan City,Maha Bahudha,Pfizer-BioNTech,2024-02-11,453,343,110
Uhc 24 Kathmandu Metropolitan City,Makhan,Pfizer-BioNTech,2023-02-05,321,135,102
Uhc 20 Kathmandu Metropolitan City,Bimsenthan,Sinopharm,2022-10-16,122,72,18
Uhc 22 Kathmandu Metropolitan City,Te Bahal,Pfizer-BioNTech,2024-02-13,317,261,54
Uhc 17 Kathmandu Metropolitan City,Chhetrapati,Sinopharm,2022-11-03,84,78,1
Uhc 18 Kathmandu Metropolitan City,Nardevi,Pfizer-BioNTech,2023-02-15,271,223,17
Uhc 30 Kathmandu Metropolitan City,Gyaneshwor,Sinopharm,2023-11-23,30,8,16
Uhc 18 Kathmandu Metropolitan City,Nardevi,Sinopharm,2021-12-16,279,39,181
Uhc 30 Kathmandu Metropolitan City,Gyaneshwor,Sinopharm,2022-07-06,331,220,79
Uhc 9 Kathmandu Metropolitan City,Gaushala,Pfizer-BioNTech,2023-08-05,481,154,7
Uhc 14 Kathmandu Metropolitan City,Kalanki,Moderna,2023-06-25,217,87,60
Uhc 17 Kathmandu Metropolitan City,Chhetrapati,Johnson & Johnson,2023-07-25,300,160,86
Uhc 14 Kathmandu Metropolitan City,Kalanki,Moderna,2022-12-26,410,99,226
Uhc 6 Kathmandu Metropolitan City,Baudhha,AstraZeneca,2020-12-01,220,77,33
Uhc 10 Kathmandu Metropolitan City,Baneshwor,AstraZeneca,2021-03-27,296,280,5
Uhc 14 Kathmandu Metropolitan City,Kalanki,Pfizer-BioNTech,2022-07-13,156,52,95
Uhc 22 Kathmandu Metropolitan City,Te Bahal,AstraZeneca,2023-03-09,433,106,65
Uhc 32 Kathmandu Metropolitan City,Koteshwor,AstraZeneca,2023-11-12,309,281,23
Uhc 12 Kathmandu Metropolitan City,Teku,Pfizer-BioNTech,2021-05-06,104,81,19
Uhc 19 Kathmandu Metropolitan City,Damai Tol,Sinopharm,2022-07-01,61,54,0
Uhc 28 Kathmandu Metropolitan City,Purano Buspark,Sinopharm,2020-10-30,58,30,5
Uhc 11 Kathmandu Metropolitan City,Babarmahal,Sinopharm,2023-09-30,300,146,56
Uhc 2 Kathmandu Metropolitan City,Lazimpat,Sinopharm,2022-06-10,33,2,11
Uhc 15 Kathmandu Metropolitan City,Dallu,AstraZeneca,2022-01-14,143,60,44
Uhc 12 Kathmandu Metropolitan City,Teku,Sinopharm,2021-07-12,389,47,170
Uhc 6 Kathmandu Metropolitan City,Baudhha,Johnson & Johnson,2021-03-31,78,4,22
Uhc 10 Kathmandu Metropolitan City,Baneshwor,Moderna,2022-06-04,190,77,13
Uhc 15 Kathmandu Metropolitan City,Dallu,Pfizer-BioNTech,2023-07-29,452,348,23
Uhc 2 Kathmandu Metropolitan City,Lazimpat,Moderna,2021-05-15,340,62,45
Uhc 29 Kathmandu Metropolitan City,Dilibazzar Pipalbot,Pfizer-BioNTech,2023-09-25,34,1,12
Uhc 5 Kathmandu Metropolitan City,Hadigaun,Pfizer-BioNTech,2020-12-14,52,33,17
Uhc 26 Kathmandu Metropolitan City,Lainchaur,Sinopharm,2022-12-20,49,9,38
Uhc 13 Kathmandu Metropolitan City,Kalimati,AstraZeneca,2022-08-26,147,78,14
Uhc 21 Kathmandu Metropolitan City,Jhwaa Bahal,Moderna,2021-06-23,457,326,77
Uhc 28 Kathmandu Metropolitan City,Purano Buspark,Sinopharm,2021-01-23,447,140,27
Uhc 13 Kathmandu Metropolitan City,Kalimati,Pfizer-BioNTech,2022-06-04,276,66,1
Uhc 6 Kathmandu Metropolitan City,Baudhha,AstraZeneca,2022-02-06,143,55,63
Uhc 18 Kathmandu Metropolitan City,Nardevi,Pfizer-BioNTech,2023-02-11,404,160,188
Uhc 9 Kathmandu Metropolitan City,Gaushala,AstraZeneca,2022-03-05,226,164,55
Uhc 14 Kathmandu Metropolitan City,Kalanki,Sinopharm,2023-11-17,72,70,2
Uhc 20 Kathmandu Metropolitan City,Bimsenthan,Pfizer-BioNTech,2022-08-21,390,227,124
Uhc 1 Kathmandu Metropolitan City,Naxal,AstraZeneca,2022-02-19,252,251,1
Uhc 11 Kathmandu Metropolitan City,Babarmahal,Pfizer-BioNTech,2021-06-02,208,15,87
Uhc 5 Kathmandu Metropolitan City,Hadigaun,Pfizer-BioNTech,2021-10-29,437,69,20
Uhc 31 Kathmandu Metropolitan City,Shantinagar,AstraZeneca,2022-04-02,210,106,103
Uhc 19 Kathmandu Metropolitan City,Damai Tol,Pfizer-BioNTech,2020-12-13,57,20,31
Uhc 29 Kathmandu Metropolitan City,Dilibazzar Pipalbot,Johnson & Johnson,2021-02-27,436,142,291
Uhc 31 Kathmandu Metropolitan City,Shantinagar,Johnson & Johnson,2020-12-16,250,181,68
Uhc 5 Kathmandu Metropolitan City,Hadigaun,Sinopharm,2021-08-07,440,179,135
Uhc 2 Kathmandu Metropolitan City,Lazimpat,Sinopharm,2022-01-21,192,99,70
Uhc 16 Kathmandu Metropolitan City,Balaju,Sinopharm,2021-10-20,446,129,102
Uhc 23 Kathmandu Metropolitan City,Om Bahal,Johnson & Johnson,2023-06-11,410,127,26
Uhc 24 Kathmandu Metropolitan City,Makhan,Pfizer-BioNTech,2022-06-04,53,11,6
Uhc 19 Kathmandu Metropolitan City,Damai Tol,Sinopharm,2021-04-05,433,249,65
Uhc 32 Kathmandu Metropolitan City,Koteshwor,Sinopharm,2021-10-06,42,42,0
Uhc 8 Kathmandu Metropolitan City,Jai Bageshwori,Sinopharm,2022-07-02,216,114,71
Uhc 17 Kathmandu Metropolitan City,Chhetrapati,Pfizer-BioNTech,2020-12-02,67,30,9
Uhc 13 Kathmandu Metropolitan City,Kalimati,AstraZeneca,2023-07-19,127,104,21
Uhc 32 Kathmandu Metropolitan City,Koteshwor,Moderna,2020-11-03,31,16,14
Uhc 9 Kathmandu Metropolitan City,Gaushala,AstraZeneca,2023-06-25,297,89,42
Uhc 16 Kathmandu Metropolitan City,Balaju,Johnson & Johnson,2022-02-12,262,218,31
Uhc 1 Kathmandu Metropolitan City,Naxal,Sinopharm,2021-02-05,401,336,14
Uhc 31 Kathmandu Metropolitan City,Shantinagar,AstraZeneca,2021-05-17,298,292,1
Uhc 32 Kathmandu Metropolitan City,Koteshwor,AstraZeneca,2022-02-04,230,43,17
Uhc 26 Kathmandu Metropolitan City,Lainchaur,Sinopharm,2021-09-14,74,68,1
Uhc 5 Kathmandu Metropolitan City,Hadigaun,Moderna,2023-09-10,407,179,174
Uhc 2 Kathmandu Metropolitan City,Lazimpat,Sinopharm,2023-03-03,449,272,87
Uhc 29 Kathmandu Metropolitan City,Dilibazzar Pipalbot,Sinopharm,2023-04-08,212,53,142
Uhc 2 Kathmandu Metropolitan City,Lazimpat,Sinopharm,2023-09-18,209,169,17
Uhc 20 Kathmandu Metropolitan City,Bimsenthan,AstraZeneca,2022-02-22,385,187,37
Uhc 19 Kathmandu Metropolitan City,Damai Tol,AstraZeneca,2022-12-08,401,263,80
Uhc 11 Kathmandu Metropolitan City,Babarmahal,AstraZeneca,2024-02-05,74,73,0
Uhc 5 Kathmandu Metropolitan City,Hadigaun,Johnson & Johnson,2023-10-25,472,456,14
Uhc 19 Kathmandu Metropolitan City,Damai Tol,Sinopharm,2024-01-09,384,314,43
Uhc 18 Kathmandu Metropolitan City,Nardevi,Pfizer-BioNTech,2021-08-11,344,33,49
Uhc 19 Kathmandu Metropolitan City,Damai Tol,Sinopharm,2020-11-24,213,15,119
Uhc 8 Kathmandu Metropolitan City,Jai Bageshwori,AstraZeneca,2021-07-31,480,70,11
Uhc 25 Kathmandu Metropolitan City,Masan Galli,Johnson & Johnson,2021-04-05,221,206,11
Uhc 6 Kathmandu Metropolitan City,Baudhha,Sinopharm,2023-05-29,183,126,42
Uhc 21 Kathmandu Metropolitan City,Jhwaa Bahal,Sinopharm,2022-07-23,310,267,23
Uhc 28 Kathmandu Metropolitan City,Purano Buspark,Pfizer-BioNTech,2023-05-18,475,261,169
Uhc 18 Kathmandu Metropolitan City,Nardevi,AstraZeneca,2023-10-30,45,40,3
Uhc 3 Kathmandu Metropolitan City,Maharjgunj,Pfizer-BioNTech,2021-02-02,358,357,0
Uhc 10 Kathmandu Metropolitan City,Baneshwor,Sinopharm,2023-09-15,43,0,0
Uhc 11 Kathmandu Metropolitan City,Babarmahal,Sinopharm,2023-09-01,392,240,115
Uhc 3 Kathmandu Metropolitan City,Maharjgunj,Pfizer-BioNTech,2020-11-21,340,291,7
Uhc 4 Kathmandu Metropolitan City,Balwatar,Pfizer-BioNTech,2023-06-08,178,90,36
Uhc 7 Kathmandu Metropolitan City,Mitrapark,Sinopharm,2022-05-03,339,225,38
Uhc 6 Kathmandu Metropolitan City,Baudhha,Sinopharm,2021-05-17,109,99,6
Uhc 15 Kathmandu Metropolitan City,Dallu,Pfizer-BioNTech,2020-12-19,180,95,3
Uhc 21 Kathmandu Metropolitan City,Jhwaa Bahal,Sinopharm,2023-09-23,476,161,246
Uhc 14 Kathmandu Metropolitan City,Kalanki,AstraZeneca,2021-06-29,257,129,94
Uhc 9 Kathmandu Metropolitan City,Gaushala,Sinopharm,2023-07-22,269,162,58
Uhc 10 Kathmandu Metropolitan City,Baneshwor,AstraZeneca,2021-12-25,425,72,141
Uhc 3 Kathmandu Metropolitan City,Maharjgunj,AstraZeneca,2023-03-24,208,36,108
Uhc 13 Kathmandu Metropolitan City,Kalimati,AstraZeneca,2022-09-11,288,65,19
Uhc 17 Kathmandu Metropolitan City,Chhetrapati,Sinopharm,2023-12-29,362,62,167
Uhc 27 Kathmandu Metropolitan City,Maha Bahudha,Pfizer-BioNTech,2021-10-29,352,179,9
Uhc 19 Kathmandu Metropolitan City,Damai Tol,Sinopharm,2021-08-23,174,49,27
Uhc 27 Kathmandu Metropolitan City,Maha Bahudha,Sinopharm,2021-01-13,279,254,10
Uhc 21 Kathmandu Metropolitan City,Jhwaa Bahal,Pfizer-BioNTech,2023-08-04,292,183,25
Uhc 13 Kathmandu Metropolitan City,Kalimati,Sinopharm,2020-11-30,242,235,4
Uhc 12 Kathmandu Metropolitan City,Teku,AstraZeneca,2022-01-14,287,274,10
Uhc 30 Kathmandu Metropolitan City,Gyaneshwor,AstraZeneca,2021-04-23,449,79,115
Uhc 24 Kathmandu Metropolitan City,Makhan,Sinopharm,2021-01-01,277,264,1
Uhc 6 Kathmandu Metropolitan City,Baudhha,Pfizer-BioNTech,2021-01-30,360,142,26
Uhc 20 Kathmandu Metropolitan City,Bimsenthan,Sinopharm,2023-10-24,95,9,59
Uhc 6 Kathmandu Metropolitan City,Baudhha,AstraZeneca,2022-01-17,165,137,10
Uhc 14 Kathmandu Metropolitan City,Kalanki,Sinopharm,2023-07-29,492,416,64
Uhc 19 Kathmandu Metropolitan City,Damai Tol,Sinopharm,2023-07-06,146,132,13
Uhc 16 Kathmandu Metropolitan City,Balaju,Pfizer-BioNTech,2021-04-30,81,7,26
Uhc 32 Kathmandu Metropolitan City,Koteshwor,Sinopharm,2023-03-08,56,51,0
Uhc 21 Kathmandu Metropolitan City,Jhwaa Bahal,Sinopharm,2023-04-27,246,224,5
Uhc 4 Kathmandu Metropolitan City,Balwatar,AstraZeneca,2022-02-24,257,226,24
Uhc 24 Kathmandu Metropolitan City,Makhan,AstraZeneca,2022-06-03,408,218,168
Uhc 22 Kathmandu Metropolitan City,Te Bahal,Sinopharm,2022-12-01,430,351,53
Uhc 31 Kathmandu Metropolitan City,Shantinagar,AstraZeneca,2024-01-07,411,143,85
Uhc 8 Kathmandu Metropolitan City,Jai Bageshwori,AstraZeneca,2020-11-06,42,4,27
Uhc 19 Kathmandu Metropolitan City,Damai Tol,Sinopharm,2021-05-08,480,474,2
Uhc 11 Kathmandu Metropolitan City,Babarmahal,Sinopharm,2021-02-12,415,231,107
Uhc 22 Kathmandu Metropolitan City,Te Bahal,Moderna,2022-09-12,464,166,61
Uhc 9 Kathmandu Metropolitan City,Gaushala,Moderna,2022-09-28,355,286,56
Uhc 13 Kathmandu Metropolitan City,Kalimati,Moderna,2023-09-01,211,177,4
Uhc 13 Kathmandu Metropolitan City,Kalimati,Pfizer-BioNTech,2023-10-04,183,146,37
Uhc 16 Kathmandu Metropolitan City,Balaju,Pfizer-BioNTech,2023-05-17,64,30,15
Uhc 1 Kathmandu Metropolitan City,Naxal,Pfizer-BioNTech,2021-10-27,48,30,15
Uhc 14 Kathmandu Metropolitan City,Kalanki,Pfizer-BioNTech,2021-09-14,364,43,168
Uhc 3 Kathmandu Metropolitan City,Maharjgunj,Sinopharm,2023-05-12,155,145,5
Uhc 18 Kathmandu Metropolitan City,Nardevi,Sinopharm,2022-09-22,175,91,9
Uhc 21 Kathmandu Metropolitan City,Jhwaa Bahal,Pfizer-BioNTech,2020-10-21,222,7,99
Uhc 3 Kathmandu Metropolitan City,Maharjgunj,Pfizer-BioNTech,2024-01-05,123,30,8
Uhc 14 Kathmandu Metropolitan City,Kalanki,Sinopharm,2021-01-30,492,180,9
Uhc 27 Kathmandu Metropolitan City,Maha Bahudha,Pfizer-BioNTech,2023-07-19,329,180,124
Uhc 30 Kathmandu Metropolitan City,Gyaneshwor,AstraZeneca,2022-05-12,72,2,7
Uhc 21 Kathmandu Metropolitan City,Jhwaa Bahal,Pfizer-BioNTech,2021-11-09,442,132,124
Uhc 2 Kathmandu Metropolitan City,Lazimpat,Johnson & Johnson,2021-07-17,252,228,23
Uhc 10 Kathmandu Metropolitan City,Baneshwor,Pfizer-BioNTech,2022-05-19,140,136,1
Uhc 20 Kathmandu Metropolitan City,Bimsenthan,Johnson & Johnson,2022-11-27,377,356,2
Uhc 18 Kathmandu Metropolitan City,Nardevi,Sinopharm,2020-11-04,443,121,164
Uhc 14 Kathmandu Metropolitan City,Kalanki,Pfizer-BioNTech,2023-09-12,434,340,29
Uhc 28 Kathmandu Metropolitan City,Purano Buspark,Pfizer-BioNTech,2022-02-22,70,59,2
Uhc 8 Kathmandu Metropolitan City,Jai Bageshwori,Sinopharm,2023-12-30,385,163,45
Uhc 18 Kathmandu Metropolitan City,Nardevi,AstraZeneca,2021-12-04,83,20,47
Uhc 24 Kathmandu Metropolitan City,Makhan,Pfizer-BioNTech,2023-01-27,317,148,145
Uhc 9 Kathmandu Metropolitan City,Gaushala,Pfizer-BioNTech,2020-10-18,385,156,202
Uhc 23 Kathmandu Metropolitan City,Om Bahal,AstraZeneca,2021-08-16,146,16,53
Uhc 24 Kathmandu Metropolitan City,Makhan,Pfizer-BioNTech,2020-12-17,253,84,164
Uhc 5 Kathmandu Metropolitan City,Hadigaun,AstraZeneca,2023-04-24,476,33,172
Uhc 10 Kathmandu Metropolitan City,Baneshwor,Sinopharm,2024-02-18,375,160,151
Uhc 11 Kathmandu Metropolitan City,Babarmahal,Moderna,2022-05-27,414,261,90
Uhc 11 Kathmandu Metropolitan City,Babarmahal,Sinopharm,2022-10-05,475,149,303
Uhc 22 Kathmandu Metropolitan City,Te Bahal,Pfizer-BioNTech,2023-01-16,233,66,121
Uhc 8 Kathmandu Metropolitan City,Jai Bageshwori,AstraZeneca,2021-04-23,369,219,44
Uhc 5 Kathmandu Metropolitan City,Hadigaun,Sinopharm,2020-10-21,162,133,29
Uhc 8 Kathmandu Metropolitan City,Jai Bageshwori,Pfizer-BioNTech,2022-04-20,226,110,85
Uhc 21 Kathmandu Metropolitan City,Jhwaa Bahal,Pfizer-BioNTech,2020-11-30,448,440,4
Uhc 21 Kathmandu Metropolitan City,Jhwaa Bahal,AstraZeneca,2023-04-12,220,174,2
